2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|39156-5|Body mass index (BMI) [Ratio]|LOINC|2.63|2.16.840.1.113883.6.1|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|V85.30|Body Mass Index 30.0-30.9, adult|ICD9CM|2013|2.16.840.1.113883.6.103|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|V85.31|Body Mass Index 31.0-31.9, adult|ICD9CM|2013|2.16.840.1.113883.6.103|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|V85.32|Body Mass Index 32.0-32.9, adult|ICD9CM|2013|2.16.840.1.113883.6.103|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|V85.33|Body Mass Index 33.0-33.9, adult|ICD9CM|2013|2.16.840.1.113883.6.103|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|V85.34|Body Mass Index 34.0-34.9, adult|ICD9CM|2013|2.16.840.1.113883.6.103|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|V85.35|Body Mass Index 35.0-35.9, adult|ICD9CM|2013|2.16.840.1.113883.6.103|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|V85.36|Body Mass Index 36.0-36.9, adult|ICD9CM|2013|2.16.840.1.113883.6.103|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|V85.37|Body Mass Index 37.0-37.9, adult|ICD9CM|2013|2.16.840.1.113883.6.103|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|V85.38|Body Mass Index 38.0-38.9, adult|ICD9CM|2013|2.16.840.1.113883.6.103|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|V85.39|Body Mass Index 39.0-39.9, adult|ICD9CM|2013|2.16.840.1.113883.6.103|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|V85.4|Body Mass Index 40 and over, adult|ICD9CM|2013|2.16.840.1.113883.6.103|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|V85.41|Body Mass Index 40.0-44.9, adult|ICD9CM|2013|2.16.840.1.113883.6.103|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|V85.42|Body Mass Index 45.0-49.9, adult|ICD9CM|2013|2.16.840.1.113883.6.103|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|V85.43|Body Mass Index 50.0-59.9, adult|ICD9CM|2013|2.16.840.1.113883.6.103|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|V85.44|Body Mass Index 60.0-69.9, adult|ICD9CM|2013|2.16.840.1.113883.6.103|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|V85.45|Body Mass Index 70 and over, adult|ICD9CM|2013|2.16.840.1.113883.6.103|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|Z68.1|Body mass index (BMI) 19.9 or less, adult|ICD10CM|2018|2.16.840.1.113883.6.90|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|Z68.20|Body mass index (BMI) 20.0-20.9, adult|ICD10CM|2018|2.16.840.1.113883.6.90|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|Z68.21|Body mass index (BMI) 21.0-21.9, adult|ICD10CM|2018|2.16.840.1.113883.6.90|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|Z68.22|Body mass index (BMI) 22.0-22.9, adult|ICD10CM|2018|2.16.840.1.113883.6.90|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|Z68.23|Body mass index (BMI) 23.0-23.9, adult|ICD10CM|2018|2.16.840.1.113883.6.90|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|Z68.24|Body mass index (BMI) 24.0-24.9, adult|ICD10CM|2018|2.16.840.1.113883.6.90|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|Z68.25|Body mass index (BMI) 25.0-25.9, adult|ICD10CM|2018|2.16.840.1.113883.6.90|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|Z68.26|Body mass index (BMI) 26.0-26.9, adult|ICD10CM|2018|2.16.840.1.113883.6.90|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|Z68.27|Body mass index (BMI) 27.0-27.9, adult|ICD10CM|2018|2.16.840.1.113883.6.90|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|Z68.28|Body mass index (BMI) 28.0-28.9, adult|ICD10CM|2018|2.16.840.1.113883.6.90|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|Z68.29|Body mass index (BMI) 29.0-29.9, adult|ICD10CM|2018|2.16.840.1.113883.6.90|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|Z68.30|Body mass index (BMI) 30.0-30.9, adult|ICD10CM|2018|2.16.840.1.113883.6.90|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|Z68.31|Body mass index (BMI) 31.0-31.9, adult|ICD10CM|2018|2.16.840.1.113883.6.90|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|Z68.32|Body mass index (BMI) 32.0-32.9, adult|ICD10CM|2018|2.16.840.1.113883.6.90|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|Z68.33|Body mass index (BMI) 33.0-33.9, adult|ICD10CM|2018|2.16.840.1.113883.6.90|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|Z68.34|Body mass index (BMI) 34.0-34.9, adult|ICD10CM|2018|2.16.840.1.113883.6.90|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|Z68.35|Body mass index (BMI) 35.0-35.9, adult|ICD10CM|2018|2.16.840.1.113883.6.90|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|Z68.36|Body mass index (BMI) 36.0-36.9, adult|ICD10CM|2018|2.16.840.1.113883.6.90|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|Z68.37|Body mass index (BMI) 37.0-37.9, adult|ICD10CM|2018|2.16.840.1.113883.6.90|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|Z68.38|Body mass index (BMI) 38.0-38.9, adult|ICD10CM|2018|2.16.840.1.113883.6.90|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|Z68.39|Body mass index (BMI) 39.0-39.9, adult|ICD10CM|2018|2.16.840.1.113883.6.90|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|Z68.41|Body mass index (BMI) 40.0-44.9, adult|ICD10CM|2018|2.16.840.1.113883.6.90|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|Z68.42|Body mass index (BMI) 45.0-49.9, adult|ICD10CM|2018|2.16.840.1.113883.6.90|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|Z68.43|Body mass index (BMI) 50-59.9 , adult|ICD10CM|2018|2.16.840.1.113883.6.90|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|Z68.44|Body mass index (BMI) 60.0-69.9, adult|ICD10CM|2018|2.16.840.1.113883.6.90|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|Z68.45|Body mass index (BMI) 70 or greater, adult|ICD10CM|2018|2.16.840.1.113883.6.90|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
